#Samples have International Geo Sample Numbers (IGSNs) registered with System for Earth Sample Registration (SESAR; https://www.geosamples.org/about/services#igsnregistration). This file maps between sample names and IGSNs. It conforms to the ESS-DIVE Sample ID and Metadata Reporting Format (IGSN-ESS) v1.1.0 (Damerow et al. 2020). Some information may be repeated between the field metadata file and this file. Parent_IGSN is the IGSN for each site ID. The original site ID is listed in the Locality column.,,,,,,,,,,,,,,,,,,,,,,
Sample_Name,IGSN,Parent_IGSN,Material,Field_Name_Informal_Classification,Collection_Method,Collection_Method_Description,Comment,Latitude,Longitude,Primary_Physiographic_Feature,Physiographic_Feature_Name,Locality,Other_Names,Locality_Description,Country,State_or_Province,City_or_Township,Field_Program_Cruise,Collector_Chief_Scientist,Collection_Date,Related_URL,Related_URL_Type
CM_016_Sediment,10.58052/IEWDR01QJ,10.58052/IEWDR01KR,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon (cleaned with hydrogen peroxide) into a bottle and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis.",WHONDRS CONUS-Scale Model-Sample Study,43.4099,-83.965,stream,Saginaw River,MP-1425,Sagiw; MI,In stream site,United States,Michigan,Saginaw,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Matt Schrenk, 2022-07-18,https://whondrs.pnnl.gov,regular URL
CM_017_Sediment,10.58052/IEWDR01QK,10.58052/IEWDR01KT,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon (cleaned with hydrogen peroxide) into a bottle and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis.",WHONDRS CONUS-Scale Model-Sample Study,45.5974,-110.566,stream,Yellowstone River,MP-1796,N/A,In stream site,United States,Montana,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Ann Burgess, 2022-11-14,https://whondrs.pnnl.gov,regular URL
CM_018_Sediment,10.58052/IEWDR01QL,10.58052/IEWDR01LB,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon (cleaned with hydrogen peroxide) into a bottle and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis.",WHONDRS CONUS-Scale Model-Sample Study,41.3166,-102.126,stream,North Platte River,SP-2,North Platte River at Lewellen Bridge,In stream site,United States,Nebraska,Lewellen,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Melissa Wuellner, 2022-06-13,https://whondrs.pnnl.gov,regular URL
CM_020_Sediment,10.58052/IEWDR01QM,10.58052/IEWDR01LC,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon (cleaned with hydrogen peroxide) into a bottle and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis.",WHONDRS CONUS-Scale Model-Sample Study,33.8277,-79.0449,stream,Waccamaw River,SP-4,Conway Mari,In stream site,United States,South Carolina,Conway,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Angelos Hannides, 2022-07-18,https://whondrs.pnnl.gov,regular URL
CM_021_Sediment,10.58052/IEWDR01QN,10.58052/IEWDR01L7,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon (cleaned with hydrogen peroxide) into a bottle and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis.",WHONDRS CONUS-Scale Model-Sample Study,32.3505,-111.0953,stream,Santa Cruz River,SP-10,Santa Cruz River at Cotaro Rd,In stream site,United States,Arizona,Tucson,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Christian Ayala, 2022-09-05,https://whondrs.pnnl.gov,regular URL
CM_022_Sediment,10.58052/IEWDR01QO,10.58052/IEWDR01LF,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon (cleaned with hydrogen peroxide) into a bottle and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis.",WHONDRS CONUS-Scale Model-Sample Study,44.5505,-123.2497,stream,Willamette River,SP-8,Willamette River MS-10 Cor,In stream site,United States,Oregon,Corvallis,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Byron Crump, 2022-09-12,https://whondrs.pnnl.gov,regular URL
CM_023_Sediment,10.58052/IEWDR01QP,10.58052/IEWDR01LG,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon (cleaned with hydrogen peroxide) into a bottle and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis.",WHONDRS CONUS-Scale Model-Sample Study,44.556,-123.2769,stream,Marys River,SP-9,MR01 Marys River,In stream site,United States,Oregon,Corvallis,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Byron Crump, 2022-09-12,https://whondrs.pnnl.gov,regular URL
CM_024_Sediment,10.58052/IEWDR01QQ,10.58052/IEWDR01LD,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon (cleaned with hydrogen peroxide) into a bottle and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis.",WHONDRS CONUS-Scale Model-Sample Study,33.684,-84.4153,stream,South River,SP-5,SR24,In stream site,United States,Georgia,Athens,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Shuo Chen, 2022-08-01,https://whondrs.pnnl.gov,regular URL
CM_027_Sediment,10.58052/IEWDR01QR,10.58052/IEWDR01KU,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon (cleaned with hydrogen peroxide) into a bottle and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis.",WHONDRS CONUS-Scale Model-Sample Study,29.3338,-95.2832,stream,Chocolate Bayou,MP-2179,Chocolate Bayou Public Boat Ramp,In stream site,United States,Texas,Liverpool,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Bayani Cardenas, 2022-07-11,https://whondrs.pnnl.gov,regular URL
CM_028_Sediment,10.58052/IEWDR01QS,10.58052/IEWDR01KW,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon (cleaned with hydrogen peroxide) into a bottle and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis.",WHONDRS CONUS-Scale Model-Sample Study,28.8318,-96.5783,stream,Lavaca River/Estuary,MP-2197,Lavaca River across boat ramp,In stream site,United States,Texas,Lolita,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Bayani Cardenas, 2022-07-11,https://whondrs.pnnl.gov,regular URL
CM_032_Sediment,10.58052/IEWDR01QT,10.58052/IEWDR01KS,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon (cleaned with hydrogen peroxide) into a bottle and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis.",WHONDRS CONUS-Scale Model-Sample Study,46.804,-96.798,stream,Red River of the North,MP-1481,N/A,In stream site,United States,North Dakota,Fargo,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Bernhardt Saini-Eidukat, 2022-10-03,https://whondrs.pnnl.gov,regular URL
CM_033_Sediment,10.58052/IEWDR01QU,10.58052/IEWDR01L8,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon (cleaned with hydrogen peroxide) into a bottle and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis.",WHONDRS CONUS-Scale Model-Sample Study,32.4713,-111.3042,stream,Santa Cruz River,SP-13,Santa Cruz River at Trico Rd,In stream site,United States,Arizona,Tucson,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Viviana Freire, 2022-09-05,https://whondrs.pnnl.gov,regular URL
CM_034_Sediment,10.58052/IEWDR01QV,10.58052/IEWDR01L9,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon (cleaned with hydrogen peroxide) into a bottle and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis.",WHONDRS CONUS-Scale Model-Sample Study,46.4979,-84.3742,stream,St. Marys River,SP-14,Ashmun Bay,In stream site,United States,Michigan,Sault Sainte Marie; MI,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Ashley Moerke, 2022-08-30,https://whondrs.pnnl.gov,regular URL
CM_035_Sediment,10.58052/IEWDR01QW,10.58052/IEWDR01LE,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon (cleaned with hydrogen peroxide) into a bottle and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis.",WHONDRS CONUS-Scale Model-Sample Study,45.0844,-92.7856,stream,St. Croix,SP-6,St. Croix Boom Site,In stream site,United States,Minnesota,Stillwater,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Cara Santelli, 2022-10-17,https://whondrs.pnnl.gov,regular URL
CM_037_Sediment,10.58052/IEWDR01QX,10.58052/IEWDR01L0,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon (cleaned with hydrogen peroxide) into a bottle and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis.",WHONDRS CONUS-Scale Model-Sample Study,41.3825,-72.8972,stream,Mill River,MP-2865,N/A,In stream site,United States,Connecticut,North Haven,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Derrick Vaughn, 2022-10-31,https://whondrs.pnnl.gov,regular URL
CM_038_Sediment,10.58052/IEWDR01QY,10.58052/IEWDR01KJ,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon (cleaned with hydrogen peroxide) into a bottle and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis.",WHONDRS CONUS-Scale Model-Sample Study,41.5236,-72.2067,stream,Yantic River,MP-55,N/A,In stream site,United States,Connecticut,Norwich,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Derrick Vaughn, 2022-10-31,https://whondrs.pnnl.gov,regular URL
CM_039_Sediment,10.58052/IEWDR01QZ,10.58052/IEWDR01KV,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon (cleaned with hydrogen peroxide) into a bottle and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis.",WHONDRS CONUS-Scale Model-Sample Study,30.2457,-97.6915,stream,Lower Colorado River,MP-2194,Lower Colorado River Hwy183 Bridge,In stream site,United States,Texas,Austin,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Bayani Cardenas, 2022-10-24,https://whondrs.pnnl.gov,regular URL
CM_040_Sediment,10.58052/IEWDR01R0,10.58052/IEWDR01LA,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon (cleaned with hydrogen peroxide) into a bottle and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis.",WHONDRS CONUS-Scale Model-Sample Study,30.4384,-91.1912,stream,Mississippi RIver,SP-15,N/A,In stream site,United States,Louisiana,Baton Rouge,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Yi-Jun Xu, 2022-10-16,https://whondrs.pnnl.gov,regular URL
CM_041_Sediment,10.58052/IEWDR01R1,10.58052/IEWDR01KP,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon (cleaned with hydrogen peroxide) into a bottle and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis.",WHONDRS CONUS-Scale Model-Sample Study,37.3724,-80.8599,stream,New River,MP-1110,N/A,In stream site,United States,Virginia,Glen Lyn,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Ryan Stewart, 2022-10-10,https://whondrs.pnnl.gov,regular URL
CM_042_Sediment,10.58052/IEWDR01R2,10.58052/IEWDR01L5,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon (cleaned with hydrogen peroxide) into a bottle and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis.",WHONDRS CONUS-Scale Model-Sample Study,37.0422,-80.5627,stream,Little River,MP-11342,N/A,In stream site,United States,Virginia,Snowville,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Ryan Stewart, 2022-10-10,https://whondrs.pnnl.gov,regular URL
CM_062_Sediment,10.58052/IEWDR01R3,10.58052/IEWDR01KH,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon (cleaned with hydrogen peroxide) into a bottle and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis.",WHONDRS CONUS-Scale Model-Sample Study,43.0881,-71.2346,stream,Lamprey River,MP-18,LMP19,In stream site,United States,New Hampshire,Deerfield,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),William McDowell, 2022-11-14,https://whondrs.pnnl.gov,regular URL
CM_063_Sediment,10.58052/IEWDR01R4,10.58052/IEWDR01KI,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon (cleaned with hydrogen peroxide) into a bottle and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis.",WHONDRS CONUS-Scale Model-Sample Study,43.0795,-71.0359,stream,North River,MP-19,NOR27,In stream site,United States,New Hampshire,Epping,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),William McDowell, 2022-11-14,https://whondrs.pnnl.gov,regular URL
SSS001_Sediment,10.58052/IEWDR01R5,10.58052/IEPRS008O,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon (cleaned with hydrogen peroxide) into a bottle and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis.",WHONDRS CONUS-Scale Model-Sample Study and Second Spatial Study,46.0417,-120.5731,stream,Satus Creek,S63,N/A,In stream site,United States,Washington,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),James Stegen, 2022-08-08,https://whondrs.pnnl.gov,regular URL
SSS002_Sediment,10.58052/IEWDR01R6,10.58052/IEPRS008C,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon (cleaned with hydrogen peroxide) into a bottle and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis.",WHONDRS CONUS-Scale Model-Sample Study and Second Spatial Study,46.0959,-120.5476,stream,Satus Creek,S30R,N/A,In stream site,United States,Washington,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),James Stegen, 2022-08-08,https://whondrs.pnnl.gov,regular URL
SSS003_Sediment,10.58052/IEWDR01R7,10.58052/IEPRS008D,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon (cleaned with hydrogen peroxide) into a bottle and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis.",WHONDRS CONUS-Scale Model-Sample Study and Second Spatial Study,46.2059,-120.4811,stream,Logy Creek,S31,N/A,In stream site,United States,Washington,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),James Stegen, 2022-08-08,https://whondrs.pnnl.gov,regular URL
SSS004_Sediment,10.58052/IEWDR01R8,10.58052/IEPRS008M,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon (cleaned with hydrogen peroxide) into a bottle and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis.",WHONDRS CONUS-Scale Model-Sample Study and Second Spatial Study,46.6659,-120.8161,stream,South Fork Cowiche Creek,S55N,N/A,In stream site,United States,Washington,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),James Stegen, 2022-08-09,https://whondrs.pnnl.gov,regular URL
SSS005_Sediment,10.58052/IEWDR01R9,10.58052/IEPRS00UH,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon (cleaned with hydrogen peroxide) into a bottle and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis.",WHONDRS CONUS-Scale Model-Sample Study and Second Spatial Study,46.5814,-120.4612,stream,Yakima River,S57,N/A,In stream site,United States,Washington,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),James Stegen, 2022-08-09,https://whondrs.pnnl.gov,regular URL
SSS006_Sediment,10.58052/IEWDR01RA,10.58052/IEPRS008N,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon (cleaned with hydrogen peroxide) into a bottle and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis.",WHONDRS CONUS-Scale Model-Sample Study and Second Spatial Study,46.6218,-120.6206,stream,Cowiche Creek,S56N,N/A,In stream site,United States,Washington,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),James Stegen, 2022-08-09,https://whondrs.pnnl.gov,regular URL
SSS007_Sediment,10.58052/IEWDR01RB,10.58052/IEPRS00UF,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon (cleaned with hydrogen peroxide) into a bottle and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis.",WHONDRS CONUS-Scale Model-Sample Study and Second Spatial Study,46.6646,-121.1237,stream,Wildcat Creek,S53,N/A,In stream site,United States,Washington,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),James Stegen, 2022-08-10,https://whondrs.pnnl.gov,regular URL
SSS008_Sediment,10.58052/IEWDR01RC,10.58052/IEPRS00UE,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon (cleaned with hydrogen peroxide) into a bottle and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis.",WHONDRS CONUS-Scale Model-Sample Study and Second Spatial Study,46.6592,-121.0893,stream,Milk Creek,S52,N/A,In stream site,United States,Washington,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),James Stegen, 2022-08-10,https://whondrs.pnnl.gov,regular URL
SSS009_Sediment,10.58052/IEWDR01RD,10.58052/IEPRS00UA,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon (cleaned with hydrogen peroxide) into a bottle and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis.",WHONDRS CONUS-Scale Model-Sample Study and Second Spatial Study,46.6168,-121.1511,stream,South Fork Tieton River,S45,N/A,In stream site,United States,Washington,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),James Stegen, 2022-08-10,https://whondrs.pnnl.gov,regular URL
SSS010_Sediment,10.58052/IEWDR01RE,10.58052/IEPRS00U1,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon (cleaned with hydrogen peroxide) into a bottle and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis.",WHONDRS CONUS-Scale Model-Sample Study and Second Spatial Study,46.8095,-121.0675,stream,Rattlesnake Creek,S10,N/A,In stream site,United States,Washington,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),James Stegen, 2022-08-11,https://whondrs.pnnl.gov,regular URL
SSS011_Sediment,10.58052/IEWDR01RF,10.58052/IEPRS00TZ,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon (cleaned with hydrogen peroxide) into a bottle and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis.",WHONDRS CONUS-Scale Model-Sample Study and Second Spatial Study,46.8099,-121.0672,stream,North Fork Rattlesnake Creek,S04,N/A,In stream site,United States,Washington,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),James Stegen, 2022-08-11,https://whondrs.pnnl.gov,regular URL
SSS012_Sediment,10.58052/IEWDR01RG,10.58052/IEPRS00UD,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon (cleaned with hydrogen peroxide) into a bottle and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis.",WHONDRS CONUS-Scale Model-Sample Study and Second Spatial Study,46.7521,-120.8178,stream,Naches River,S50P,N/A,In stream site,United States,Washington,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),James Stegen, 2022-08-11,https://whondrs.pnnl.gov,regular URL
SSS013_Sediment,10.58052/IEWDR01RH,10.58052/IEPRS0092,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon (cleaned with hydrogen peroxide) into a bottle and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis.",WHONDRS CONUS-Scale Model-Sample Study and Second Spatial Study,46.2554,-119.474,stream,Yakima River,T07,Yakima at Kiona,In stream site,United States,Washington,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),James Stegen, 2022-08-08,https://whondrs.pnnl.gov,regular URL
SSS014_Sediment,10.58052/IEWDR01RI,10.58052/IEPRS008Z,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon (cleaned with hydrogen peroxide) into a bottle and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis.",WHONDRS CONUS-Scale Model-Sample Study and Second Spatial Study,46.232,-119.9999,stream,Yakima River,T02,Yakima at Mabton,In stream site,United States,Washington,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),James Stegen, 2022-08-08,https://whondrs.pnnl.gov,regular URL
SSS015_Sediment,10.58052/IEWDR01RJ,10.58052/IEPRS0090,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon (cleaned with hydrogen peroxide) into a bottle and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis.",WHONDRS CONUS-Scale Model-Sample Study and Second Spatial Study,46.5302,-120.4704,stream,Yakima River,T03,Yakima at Union Gap,In stream site,United States,Washington,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),James Stegen, 2022-08-08,https://whondrs.pnnl.gov,regular URL
SSS016_Sediment,10.58052/IEWDR01RK,10.58052/IEPRS0095,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon (cleaned with hydrogen peroxide) into a bottle and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis.",WHONDRS CONUS-Scale Model-Sample Study and Second Spatial Study,46.7288,-120.7135,stream,Naches River,T41,Naches River Craig Road 1,In stream site,United States,Washington,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),James Stegen, 2022-08-09,https://whondrs.pnnl.gov,regular URL
SSS017_Sediment,10.58052/IEWDR01RL,10.58052/IEPRS00UI,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon (cleaned with hydrogen peroxide) into a bottle and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis.",WHONDRS CONUS-Scale Model-Sample Study and Second Spatial Study,46.6856,-120.6553,stream,Naches River,S58,N/A,In stream site,United States,Washington,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),James Stegen, 2022-08-09,https://whondrs.pnnl.gov,regular URL
SSS018_Sediment,10.58052/IEWDR01RM,10.58052/IEPRS00U0,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon (cleaned with hydrogen peroxide) into a bottle and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis.",WHONDRS CONUS-Scale Model-Sample Study and Second Spatial Study,47.0171,-121.1357,stream,Little Naches River,S08,N/A,In stream site,United States,Washington,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),James Stegen, 2022-08-10,https://whondrs.pnnl.gov,regular URL
SSS019_Sediment,10.58052/IEWDR01RN,10.58052/IEPRS00TY,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon (cleaned with hydrogen peroxide) into a bottle and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis.",WHONDRS CONUS-Scale Model-Sample Study and Second Spatial Study,47.0195,-121.1285,stream,Quartz Creek,S03,N/A,In stream site,United States,Washington,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),James Stegen, 2022-08-10,https://whondrs.pnnl.gov,regular URL
SSS020_Sediment,10.58052/IEWDR01RO,10.58052/IEPRS0093,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon (cleaned with hydrogen peroxide) into a bottle and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis.",WHONDRS CONUS-Scale Model-Sample Study and Second Spatial Study,46.9891,-121.0983,stream,Little Naches River,T05P,Little Naches at Nile,In stream site,United States,Washington,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),James Stegen, 2022-08-10,https://whondrs.pnnl.gov,regular URL
SSS021_Sediment,10.58052/IEWDR01RP,10.58052/IEPRS00U4,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon (cleaned with hydrogen peroxide) into a bottle and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis.",WHONDRS CONUS-Scale Model-Sample Study and Second Spatial Study,47.3543,-121.1082,stream,Cle Elum River,S24,N/A,In stream site,United States,Washington,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),James Stegen, 2022-08-11,https://whondrs.pnnl.gov,regular URL
SSS022_Sediment,10.58052/IEWDR01RQ,10.58052/IEPRS007X,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon (cleaned with hydrogen peroxide) into a bottle and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis.",WHONDRS CONUS-Scale Model-Sample Study and Second Spatial Study,47.36363,-121.10725,stream,Thorp Creek,S15,N/A,In stream site,United States,Washington,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),James Stegen, 2022-08-11,https://whondrs.pnnl.gov,regular URL
SSS023_Sediment,10.58052/IEWDR01RR,10.58052/IEPRS007U,Sediment,Riverbed sediment,grab,"Sediment was scooped with a metal spoon (cleaned with hydrogen peroxide) into a bottle and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis.",WHONDRS CONUS-Scale Model-Sample Study and Second Spatial Study,46.8986,-120.6423,stream,Umtanum Creek,U20,RC3_03,In stream site,United States,Washington,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),James Stegen, 2022-08-12,https://whondrs.pnnl.gov,regular URL
